"case","source","geol","fmed","noise","rep"
"geol",11,2,NA,NA,1
"geol",25,2,NA,NA,1
"geol",11,162,NA,NA,1
"geol",25,162,NA,NA,1
"analytical",NA,NA,1,1,1
"analytical",NA,NA,2,1,1
"analytical",NA,NA,1,2,1
"analytical",NA,NA,2,2,1
"analytical",NA,NA,1,3,1
"analytical",NA,NA,2,3,1
"analytical",NA,NA,1,4,1
"analytical",NA,NA,2,4,1
"geol",11,2,NA,NA,2
"geol",25,2,NA,NA,2
"geol",11,162,NA,NA,2
"geol",25,162,NA,NA,2
"analytical",NA,NA,1,1,2
"analytical",NA,NA,2,1,2
"analytical",NA,NA,1,2,2
"analytical",NA,NA,2,2,2
"analytical",NA,NA,1,3,2
"analytical",NA,NA,2,3,2
"analytical",NA,NA,1,4,2
"analytical",NA,NA,2,4,2
"geol",11,2,NA,NA,3
"geol",25,2,NA,NA,3
"geol",11,162,NA,NA,3
"geol",25,162,NA,NA,3
"analytical",NA,NA,1,1,3
"analytical",NA,NA,2,1,3
"analytical",NA,NA,1,2,3
"analytical",NA,NA,2,2,3
"analytical",NA,NA,1,3,3
"analytical",NA,NA,2,3,3
"analytical",NA,NA,1,4,3
"analytical",NA,NA,2,4,3
"geol",11,2,NA,NA,4
"geol",25,2,NA,NA,4
"geol",11,162,NA,NA,4
"geol",25,162,NA,NA,4
"analytical",NA,NA,1,1,4
"analytical",NA,NA,2,1,4
"analytical",NA,NA,1,2,4
"analytical",NA,NA,2,2,4
"analytical",NA,NA,1,3,4
"analytical",NA,NA,2,3,4
"analytical",NA,NA,1,4,4
"analytical",NA,NA,2,4,4
"geol",11,2,NA,NA,5
"geol",25,2,NA,NA,5
"geol",11,162,NA,NA,5
"geol",25,162,NA,NA,5
"analytical",NA,NA,1,1,5
"analytical",NA,NA,2,1,5
"analytical",NA,NA,1,2,5
"analytical",NA,NA,2,2,5
"analytical",NA,NA,1,3,5
"analytical",NA,NA,2,3,5
"analytical",NA,NA,1,4,5
"analytical",NA,NA,2,4,5
"geol",11,2,NA,NA,6
"geol",25,2,NA,NA,6
"geol",11,162,NA,NA,6
"geol",25,162,NA,NA,6
"analytical",NA,NA,1,1,6
"analytical",NA,NA,2,1,6
"analytical",NA,NA,1,2,6
"analytical",NA,NA,2,2,6
"analytical",NA,NA,1,3,6
"analytical",NA,NA,2,3,6
"analytical",NA,NA,1,4,6
"analytical",NA,NA,2,4,6
"geol",11,2,NA,NA,7
"geol",25,2,NA,NA,7
"geol",11,162,NA,NA,7
"geol",25,162,NA,NA,7
"analytical",NA,NA,1,1,7
"analytical",NA,NA,2,1,7
"analytical",NA,NA,1,2,7
"analytical",NA,NA,2,2,7
"analytical",NA,NA,1,3,7
"analytical",NA,NA,2,3,7
"analytical",NA,NA,1,4,7
"analytical",NA,NA,2,4,7
"geol",11,2,NA,NA,8
"geol",25,2,NA,NA,8
"geol",11,162,NA,NA,8
"geol",25,162,NA,NA,8
"analytical",NA,NA,1,1,8
"analytical",NA,NA,2,1,8
"analytical",NA,NA,1,2,8
"analytical",NA,NA,2,2,8
"analytical",NA,NA,1,3,8
"analytical",NA,NA,2,3,8
"analytical",NA,NA,1,4,8
"analytical",NA,NA,2,4,8
"geol",11,2,NA,NA,9
"geol",25,2,NA,NA,9
"geol",11,162,NA,NA,9
"geol",25,162,NA,NA,9
"analytical",NA,NA,1,1,9
"analytical",NA,NA,2,1,9
"analytical",NA,NA,1,2,9
"analytical",NA,NA,2,2,9
"analytical",NA,NA,1,3,9
"analytical",NA,NA,2,3,9
"analytical",NA,NA,1,4,9
"analytical",NA,NA,2,4,9
"geol",11,2,NA,NA,10
"geol",25,2,NA,NA,10
"geol",11,162,NA,NA,10
"geol",25,162,NA,NA,10
"analytical",NA,NA,1,1,10
"analytical",NA,NA,2,1,10
"analytical",NA,NA,1,2,10
"analytical",NA,NA,2,2,10
"analytical",NA,NA,1,3,10
"analytical",NA,NA,2,3,10
"analytical",NA,NA,1,4,10
"analytical",NA,NA,2,4,10
"geol",11,2,NA,NA,11
"geol",25,2,NA,NA,11
"geol",11,162,NA,NA,11
"geol",25,162,NA,NA,11
"analytical",NA,NA,1,1,11
"analytical",NA,NA,2,1,11
"analytical",NA,NA,1,2,11
"analytical",NA,NA,2,2,11
"analytical",NA,NA,1,3,11
"analytical",NA,NA,2,3,11
"analytical",NA,NA,1,4,11
"analytical",NA,NA,2,4,11
"geol",11,2,NA,NA,12
"geol",25,2,NA,NA,12
"geol",11,162,NA,NA,12
"geol",25,162,NA,NA,12
"analytical",NA,NA,1,1,12
"analytical",NA,NA,2,1,12
"analytical",NA,NA,1,2,12
"analytical",NA,NA,2,2,12
"analytical",NA,NA,1,3,12
"analytical",NA,NA,2,3,12
"analytical",NA,NA,1,4,12
"analytical",NA,NA,2,4,12
"geol",11,2,NA,NA,13
"geol",25,2,NA,NA,13
"geol",11,162,NA,NA,13
"geol",25,162,NA,NA,13
"analytical",NA,NA,1,1,13
"analytical",NA,NA,2,1,13
"analytical",NA,NA,1,2,13
"analytical",NA,NA,2,2,13
"analytical",NA,NA,1,3,13
"analytical",NA,NA,2,3,13
"analytical",NA,NA,1,4,13
"analytical",NA,NA,2,4,13
"geol",11,2,NA,NA,14
"geol",25,2,NA,NA,14
"geol",11,162,NA,NA,14
"geol",25,162,NA,NA,14
"analytical",NA,NA,1,1,14
"analytical",NA,NA,2,1,14
"analytical",NA,NA,1,2,14
"analytical",NA,NA,2,2,14
"analytical",NA,NA,1,3,14
"analytical",NA,NA,2,3,14
"analytical",NA,NA,1,4,14
"analytical",NA,NA,2,4,14
"geol",11,2,NA,NA,15
"geol",25,2,NA,NA,15
"geol",11,162,NA,NA,15
"geol",25,162,NA,NA,15
"analytical",NA,NA,1,1,15
"analytical",NA,NA,2,1,15
"analytical",NA,NA,1,2,15
"analytical",NA,NA,2,2,15
"analytical",NA,NA,1,3,15
"analytical",NA,NA,2,3,15
"analytical",NA,NA,1,4,15
"analytical",NA,NA,2,4,15
"geol",11,2,NA,NA,16
"geol",25,2,NA,NA,16
"geol",11,162,NA,NA,16
"geol",25,162,NA,NA,16
"analytical",NA,NA,1,1,16
"analytical",NA,NA,2,1,16
"analytical",NA,NA,1,2,16
"analytical",NA,NA,2,2,16
"analytical",NA,NA,1,3,16
"analytical",NA,NA,2,3,16
"analytical",NA,NA,1,4,16
"analytical",NA,NA,2,4,16
"geol",11,2,NA,NA,17
"geol",25,2,NA,NA,17
"geol",11,162,NA,NA,17
"geol",25,162,NA,NA,17
"analytical",NA,NA,1,1,17
"analytical",NA,NA,2,1,17
"analytical",NA,NA,1,2,17
"analytical",NA,NA,2,2,17
"analytical",NA,NA,1,3,17
"analytical",NA,NA,2,3,17
"analytical",NA,NA,1,4,17
"analytical",NA,NA,2,4,17
"geol",11,2,NA,NA,18
"geol",25,2,NA,NA,18
"geol",11,162,NA,NA,18
"geol",25,162,NA,NA,18
"analytical",NA,NA,1,1,18
"analytical",NA,NA,2,1,18
"analytical",NA,NA,1,2,18
"analytical",NA,NA,2,2,18
"analytical",NA,NA,1,3,18
"analytical",NA,NA,2,3,18
"analytical",NA,NA,1,4,18
"analytical",NA,NA,2,4,18
"geol",11,2,NA,NA,19
"geol",25,2,NA,NA,19
"geol",11,162,NA,NA,19
"geol",25,162,NA,NA,19
"analytical",NA,NA,1,1,19
"analytical",NA,NA,2,1,19
"analytical",NA,NA,1,2,19
"analytical",NA,NA,2,2,19
"analytical",NA,NA,1,3,19
"analytical",NA,NA,2,3,19
"analytical",NA,NA,1,4,19
"analytical",NA,NA,2,4,19
"geol",11,2,NA,NA,20
"geol",25,2,NA,NA,20
"geol",11,162,NA,NA,20
"geol",25,162,NA,NA,20
"analytical",NA,NA,1,1,20
"analytical",NA,NA,2,1,20
"analytical",NA,NA,1,2,20
"analytical",NA,NA,2,2,20
"analytical",NA,NA,1,3,20
"analytical",NA,NA,2,3,20
"analytical",NA,NA,1,4,20
"analytical",NA,NA,2,4,20
"geol",11,2,NA,NA,21
"geol",25,2,NA,NA,21
"geol",11,162,NA,NA,21
"geol",25,162,NA,NA,21
"analytical",NA,NA,1,1,21
"analytical",NA,NA,2,1,21
"analytical",NA,NA,1,2,21
"analytical",NA,NA,2,2,21
"analytical",NA,NA,1,3,21
"analytical",NA,NA,2,3,21
"analytical",NA,NA,1,4,21
"analytical",NA,NA,2,4,21
"geol",11,2,NA,NA,22
"geol",25,2,NA,NA,22
"geol",11,162,NA,NA,22
"geol",25,162,NA,NA,22
"analytical",NA,NA,1,1,22
"analytical",NA,NA,2,1,22
"analytical",NA,NA,1,2,22
"analytical",NA,NA,2,2,22
"analytical",NA,NA,1,3,22
"analytical",NA,NA,2,3,22
"analytical",NA,NA,1,4,22
"analytical",NA,NA,2,4,22
"geol",11,2,NA,NA,23
"geol",25,2,NA,NA,23
"geol",11,162,NA,NA,23
"geol",25,162,NA,NA,23
"analytical",NA,NA,1,1,23
"analytical",NA,NA,2,1,23
"analytical",NA,NA,1,2,23
"analytical",NA,NA,2,2,23
"analytical",NA,NA,1,3,23
"analytical",NA,NA,2,3,23
"analytical",NA,NA,1,4,23
"analytical",NA,NA,2,4,23
"geol",11,2,NA,NA,24
"geol",25,2,NA,NA,24
"geol",11,162,NA,NA,24
"geol",25,162,NA,NA,24
"analytical",NA,NA,1,1,24
"analytical",NA,NA,2,1,24
"analytical",NA,NA,1,2,24
"analytical",NA,NA,2,2,24
"analytical",NA,NA,1,3,24
"analytical",NA,NA,2,3,24
"analytical",NA,NA,1,4,24
"analytical",NA,NA,2,4,24
"geol",11,2,NA,NA,25
"geol",25,2,NA,NA,25
"geol",11,162,NA,NA,25
"geol",25,162,NA,NA,25
"analytical",NA,NA,1,1,25
"analytical",NA,NA,2,1,25
"analytical",NA,NA,1,2,25
"analytical",NA,NA,2,2,25
"analytical",NA,NA,1,3,25
"analytical",NA,NA,2,3,25
"analytical",NA,NA,1,4,25
"analytical",NA,NA,2,4,25
"geol",11,2,NA,NA,26
"geol",25,2,NA,NA,26
"geol",11,162,NA,NA,26
"geol",25,162,NA,NA,26
"analytical",NA,NA,1,1,26
"analytical",NA,NA,2,1,26
"analytical",NA,NA,1,2,26
"analytical",NA,NA,2,2,26
"analytical",NA,NA,1,3,26
"analytical",NA,NA,2,3,26
"analytical",NA,NA,1,4,26
"analytical",NA,NA,2,4,26
"geol",11,2,NA,NA,27
"geol",25,2,NA,NA,27
"geol",11,162,NA,NA,27
"geol",25,162,NA,NA,27
"analytical",NA,NA,1,1,27
"analytical",NA,NA,2,1,27
"analytical",NA,NA,1,2,27
"analytical",NA,NA,2,2,27
"analytical",NA,NA,1,3,27
"analytical",NA,NA,2,3,27
"analytical",NA,NA,1,4,27
"analytical",NA,NA,2,4,27
"geol",11,2,NA,NA,28
"geol",25,2,NA,NA,28
"geol",11,162,NA,NA,28
"geol",25,162,NA,NA,28
"analytical",NA,NA,1,1,28
"analytical",NA,NA,2,1,28
"analytical",NA,NA,1,2,28
"analytical",NA,NA,2,2,28
"analytical",NA,NA,1,3,28
"analytical",NA,NA,2,3,28
"analytical",NA,NA,1,4,28
"analytical",NA,NA,2,4,28
"geol",11,2,NA,NA,29
"geol",25,2,NA,NA,29
"geol",11,162,NA,NA,29
"geol",25,162,NA,NA,29
"analytical",NA,NA,1,1,29
"analytical",NA,NA,2,1,29
"analytical",NA,NA,1,2,29
"analytical",NA,NA,2,2,29
"analytical",NA,NA,1,3,29
"analytical",NA,NA,2,3,29
"analytical",NA,NA,1,4,29
"analytical",NA,NA,2,4,29
"geol",11,2,NA,NA,30
"geol",25,2,NA,NA,30
"geol",11,162,NA,NA,30
"geol",25,162,NA,NA,30
"analytical",NA,NA,1,1,30
"analytical",NA,NA,2,1,30
"analytical",NA,NA,1,2,30
"analytical",NA,NA,2,2,30
"analytical",NA,NA,1,3,30
"analytical",NA,NA,2,3,30
"analytical",NA,NA,1,4,30
"analytical",NA,NA,2,4,30
"geol",11,2,NA,NA,31
"geol",25,2,NA,NA,31
"geol",11,162,NA,NA,31
"geol",25,162,NA,NA,31
"analytical",NA,NA,1,1,31
"analytical",NA,NA,2,1,31
"analytical",NA,NA,1,2,31
"analytical",NA,NA,2,2,31
"analytical",NA,NA,1,3,31
"analytical",NA,NA,2,3,31
"analytical",NA,NA,1,4,31
"analytical",NA,NA,2,4,31
"geol",11,2,NA,NA,32
"geol",25,2,NA,NA,32
"geol",11,162,NA,NA,32
"geol",25,162,NA,NA,32
"analytical",NA,NA,1,1,32
"analytical",NA,NA,2,1,32
"analytical",NA,NA,1,2,32
"analytical",NA,NA,2,2,32
"analytical",NA,NA,1,3,32
"analytical",NA,NA,2,3,32
"analytical",NA,NA,1,4,32
"analytical",NA,NA,2,4,32
"geol",11,2,NA,NA,33
"geol",25,2,NA,NA,33
"geol",11,162,NA,NA,33
"geol",25,162,NA,NA,33
"analytical",NA,NA,1,1,33
"analytical",NA,NA,2,1,33
"analytical",NA,NA,1,2,33
"analytical",NA,NA,2,2,33
"analytical",NA,NA,1,3,33
"analytical",NA,NA,2,3,33
"analytical",NA,NA,1,4,33
"analytical",NA,NA,2,4,33
"geol",11,2,NA,NA,34
"geol",25,2,NA,NA,34
"geol",11,162,NA,NA,34
"geol",25,162,NA,NA,34
"analytical",NA,NA,1,1,34
"analytical",NA,NA,2,1,34
"analytical",NA,NA,1,2,34
"analytical",NA,NA,2,2,34
"analytical",NA,NA,1,3,34
"analytical",NA,NA,2,3,34
"analytical",NA,NA,1,4,34
"analytical",NA,NA,2,4,34
"geol",11,2,NA,NA,35
"geol",25,2,NA,NA,35
"geol",11,162,NA,NA,35
"geol",25,162,NA,NA,35
"analytical",NA,NA,1,1,35
"analytical",NA,NA,2,1,35
"analytical",NA,NA,1,2,35
"analytical",NA,NA,2,2,35
"analytical",NA,NA,1,3,35
"analytical",NA,NA,2,3,35
"analytical",NA,NA,1,4,35
"analytical",NA,NA,2,4,35
"geol",11,2,NA,NA,36
"geol",25,2,NA,NA,36
"geol",11,162,NA,NA,36
"geol",25,162,NA,NA,36
"analytical",NA,NA,1,1,36
"analytical",NA,NA,2,1,36
"analytical",NA,NA,1,2,36
"analytical",NA,NA,2,2,36
"analytical",NA,NA,1,3,36
"analytical",NA,NA,2,3,36
