"s","g","lt","lx","neglogpost"
11,2,0.05,0.05,-10585.8413418072
11,2,0.05,0.075,-10694.0536230395
11,2,0.05,0.1,-10714.438654693
11,2,0.05,0.125,-10689.8428291952
11,2,0.05,0.15,-10606.2617952182
11,2,0.05,0.2,-10512.2157892711
11,2,0.05,0.025,-10247.8497512776
11,2,0.075,0.05,-10506.6075061576
11,2,0.075,0.075,-10611.7868467087
11,2,0.075,0.1,-10644.6275841608
11,2,0.075,0.125,-10629.1717060647
11,2,0.075,0.15,-10574.9549988414
11,2,0.075,0.2,-10471.4774400253
11,2,0.075,0.025,-10194.5855561198
11,2,0.1,0.05,-10330.1545937927
11,2,0.1,0.075,-10420.0923469397
11,2,0.1,0.1,-10459.7761071243
11,2,0.1,0.125,-10442.0314311245
11,2,0.1,0.15,-10407.7828490304
11,2,0.1,0.2,-10331.1707810907
11,2,0.1,0.025,-9789.47256344881
11,2,0.125,0.05,-10274.0429289356
11,2,0.125,0.075,-10336.9401561576
11,2,0.125,0.1,-10369.4391808323
11,2,0.125,0.125,-10330.546424016
11,2,0.125,0.15,-10291.7952508443
11,2,0.125,0.2,-10221.0469311216
11,2,0.125,0.025,-9728.05505117926
11,2,0.15,0.05,-10155.2390099474
11,2,0.15,0.075,-10200.6880445627
11,2,0.15,0.1,-10245.7140479572
11,2,0.15,0.125,-10233.6727985149
11,2,0.15,0.15,-10191.3157763034
11,2,0.15,0.2,-10115.6827080905
11,2,0.15,0.025,-9675.14634028893
11,2,0.2,0.05,-9605.55622611003
11,2,0.2,0.075,-9703.46356318471
11,2,0.2,0.1,-9797.77901515911
11,2,0.2,0.125,-9824.6392642131
11,2,0.2,0.15,-9795.80361682193
11,2,0.2,0.2,-9707.05065053099
11,2,0.2,0.025,-9098.50753107975
11,2,0.025,0.05,-10498.9632304911
11,2,0.025,0.075,-10572.7861996748
11,2,0.025,0.1,-10588.5637337117
11,2,0.025,0.125,-10599.1002145817
11,2,0.025,0.15,-10509.162015137
11,2,0.025,0.2,-10390.3079204557
11,2,0.025,0.025,-10136.393886479
11,162,0.05,0.05,-7125.06992789277
11,162,0.05,0.075,-7216.49376485742
11,162,0.05,0.1,-7244.90989667488
11,162,0.05,0.125,-7243.18790308397
11,162,0.05,0.15,-7227.74035911498
11,162,0.05,0.2,-7216.83138723974
11,162,0.05,0.025,-6916.62018281641
11,162,0.075,0.05,-7088.57007998024
11,162,0.075,0.075,-7168.72452458691
11,162,0.075,0.1,-7196.43943438501
11,162,0.075,0.125,-7200.20863041829
11,162,0.075,0.15,-7181.71344693498
11,162,0.075,0.2,-7172.51594390795
11,162,0.075,0.025,-6833.63325435247
11,162,0.1,0.05,-7043.03883727862
11,162,0.1,0.075,-7113.17264012584
11,162,0.1,0.1,-7139.73621054017
11,162,0.1,0.125,-7119.22144292829
11,162,0.1,0.15,-7112.54372365166
11,162,0.1,0.2,-7086.45521723364
11,162,0.1,0.025,-6711.29243839806
11,162,0.125,0.05,-6970.59229573128
11,162,0.125,0.075,-7063.09199637241
11,162,0.125,0.1,-7082.65242736106
11,162,0.125,0.125,-7077.28269518679
11,162,0.125,0.15,-7068.70706704229
11,162,0.125,0.2,-7037.32644147712
11,162,0.125,0.025,-6690.11813562507
11,162,0.15,0.05,-6852.63975425957
11,162,0.15,0.075,-6947.95095979183
11,162,0.15,0.1,-6969.24452286626
11,162,0.15,0.125,-6970.72403397265
11,162,0.15,0.15,-6965.33805937816
11,162,0.15,0.2,-6950.06952236529
11,162,0.15,0.025,-6343.15455716079
11,162,0.2,0.05,-6685.62212787377
11,162,0.2,0.075,-6764.87752384958
11,162,0.2,0.1,-6802.9706606649
11,162,0.2,0.125,-6803.82889991876
11,162,0.2,0.15,-6789.09508844999
11,162,0.2,0.2,-6769.81459298108
11,162,0.2,0.025,-6242.78357057266
11,162,0.025,0.05,-6977.26223969779
11,162,0.025,0.075,-7091.2423707763
11,162,0.025,0.1,-7128.11723534598
11,162,0.025,0.125,-7141.68520554127
11,162,0.025,0.15,-7155.71449987047
11,162,0.025,0.2,-7150.82063183188
11,162,0.025,0.025,-6768.98246323137
25,2,0.05,0.05,-11028.51877336
25,2,0.05,0.075,-11143.1734525404
25,2,0.05,0.1,-11144.2532227822
25,2,0.05,0.125,-11122.3220570647
25,2,0.05,0.15,-11046.6186305418
25,2,0.05,0.2,-10911.7020355155
25,2,0.05,0.025,-10619.9312304267
25,2,0.075,0.05,-10921.0847629779
25,2,0.075,0.075,-11045.7598178377
25,2,0.075,0.1,-11056.2032423908
25,2,0.075,0.125,-11036.7384941298
25,2,0.075,0.15,-10990.3046778147
25,2,0.075,0.2,-10861.9949720056
25,2,0.075,0.025,-10539.6946426611
25,2,0.1,0.05,-10744.9232047963
25,2,0.1,0.075,-10858.5092788172
25,2,0.1,0.1,-10867.029315015
25,2,0.1,0.125,-10827.686859796
25,2,0.1,0.15,-10791.5908500955
25,2,0.1,0.2,-10669.4714710894
25,2,0.1,0.025,-10216.0341253702
25,2,0.125,0.05,-10646.6542664783
25,2,0.125,0.075,-10735.0969853593
25,2,0.125,0.1,-10787.5152024839
25,2,0.125,0.125,-10760.0512889073
25,2,0.125,0.15,-10722.0942149305
25,2,0.125,0.2,-10590.2938834777
25,2,0.125,0.025,-10162.9920344483
25,2,0.15,0.05,-10421.3960469304
25,2,0.15,0.075,-10500.9321485604
25,2,0.15,0.1,-10562.9435049981
25,2,0.15,0.125,-10564.9869496676
25,2,0.15,0.15,-10515.8834779534
25,2,0.15,0.2,-10384.947131467
25,2,0.15,0.025,-9881.23733725243
25,2,0.2,0.05,-9884.10376165074
25,2,0.2,0.075,-9984.25565376705
25,2,0.2,0.1,-10083.9928461785
25,2,0.2,0.125,-10099.0804415002
25,2,0.2,0.15,-10048.4863444093
25,2,0.2,0.2,-9921.01239748763
25,2,0.2,0.025,-9393.58418437657
25,2,0.025,0.05,-10915.8218914874
25,2,0.025,0.075,-11066.5600485015
25,2,0.025,0.1,-11081.3452295623
25,2,0.025,0.125,-11043.7254876244
25,2,0.025,0.15,-10998.6136176635
25,2,0.025,0.2,-10925.5215341213
25,2,0.025,0.025,-10618.7958401181
25,162,0.05,0.05,-9698.20595311592
25,162,0.05,0.075,-9790.03247215618
25,162,0.05,0.1,-9837.36412181482
25,162,0.05,0.125,-9816.65900473869
25,162,0.05,0.15,-9755.59669914998
25,162,0.05,0.2,-9679.8969163553
25,162,0.05,0.025,-9379.90396458531
25,162,0.075,0.05,-9617.32241028482
25,162,0.075,0.075,-9719.3379763656
25,162,0.075,0.1,-9740.94254762292
25,162,0.075,0.125,-9722.19136327568
25,162,0.075,0.15,-9675.29577062331
25,162,0.075,0.2,-9612.19449751058
25,162,0.075,0.025,-9229.88615868934
25,162,0.1,0.05,-9546.58477775679
25,162,0.1,0.075,-9651.87350489022
25,162,0.1,0.1,-9657.78805879658
25,162,0.1,0.125,-9610.28860343619
25,162,0.1,0.15,-9557.73221405329
25,162,0.1,0.2,-9506.61925947066
25,162,0.1,0.025,-9186.90192385664
25,162,0.125,0.05,-9373.06689456498
25,162,0.125,0.075,-9447.8691163302
25,162,0.125,0.1,-9467.57730163181
25,162,0.125,0.125,-9442.42697138128
25,162,0.125,0.15,-9401.59587844846
25,162,0.125,0.2,-9309.94497945063
25,162,0.125,0.025,-8944.02449027962
25,162,0.15,0.05,-9231.17558100588
