"station.location","date","rre150d0","tre200d0","tre200dn","tre200dx","ure200d0","Station","Station.height.m..a..sea.level","Latitude","Longitude","Climate.region","Canton"
"ALT",2019-01-01,2.6,4.8,1.5,6,83.9,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-02,3.2,3,0,5.8,65.3,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-03,0,-1.5,-5.4,1.1,65.3,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-04,0,-1.5,-4.9,0.9,69.1,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-05,10.5,-0.2,-1.8,2.3,90.5,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-06,0.7,2.4,1.1,3.5,89.2,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-07,1.1,2.4,0.8,4.3,84.7,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-08,19.3,2.7,-0.1,6.1,82.7,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-09,7.3,1.6,-0.4,4,77.7,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-10,1.2,-0.1,-1.6,1.6,80.8,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-11,1.3,-1.2,-4,0.8,78.5,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-12,16.6,0.3,-1.6,2.1,91.1,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-13,38.1,1.2,-0.1,7.2,96.1,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-14,14.1,5.6,3,9,68.5,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-15,0,2.6,-2.7,6.1,74.3,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-16,0,0,-4.1,4.5,84.8,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
"ALT",2019-01-17,1.5,3,-2.1,8.1,80.5,"Altdorf",438,46.887069,8.621894,"Central Alpine north slope","UR"
